year,month,average_temperature,raining_days
2005,1,1.3 ,0
2005,2,1.6,3
2005,3,7.6,8
2005,4,11.2,15
2005,5,18.5,9
2005,6,22.8,9
2005,7,24,7
2005,8,21.7,10
2005,9,18.7,14
2005,10,12.9,9
2005,11,10.7,4
2005,12,1.2,3
2006,1,0.8,4
2006,2,3.1,10
2006,3,7.3,5
2006,4,12.9,14
2006,5,16.8,11
2006,6,21.5,8
2006,7,25.4,12
2006,8,20.8,15
2006,9,19.3,13
2006,10,14.1,9
2006,11,7.9,7
2006,12,3.3,6
2007,1,4.4Â ,3
2007,2,5.8,2
2007,3,9.3,13
2007,4,15.7,7
2007,5,17.3,12
2007,6,20.2,17
2007,7,22.5,6
2007,8,20.6,15
2007,9,17.2,9
2007,10,13,8
2007,11,6.4,5
2007,12,2.9,2
2008,1,3.6,10
2008,2,5.4,3
2008,3,9.4,9
2008,4,11.2,15
2008,5,16.4,17
2008,6,20.3,18
2008,7,22,12
2008,8,21.6,8
2008,9,17.4,14
2008,10,13.9,7
2008,11,8,13
2008,12,2.6,9
2009,1,0.4,7
2009,2,4,8
2009,3,8.9,10
2009,4,12.8,18
2009,5,18.9,12
2009,6,21.3,10
2009,7,23.3,8
2009,8,23.5,9
2009,9,18.9,8
2009,10,12.3,6
2009,11,7.5,6
2009,12,1.1,6
2010,1,0,7
2010,2,2.7,13
2010,3,7.4,9
2010,4,12.8,12
2010,5,15,15
2010,6,20.5,13
2010,7,24.7,7
2010,8,21.4,8
2010,9,17.6,6
2010,10,11.8,12
2010,11,7.8,12
2010,12,1.2,8
2011,1,1.7,8
2011,2,5.3,7
2011,3,8.5,14
2011,4,15.7,8
2011,5,19.1,11
2011,6,20.5,18
2011,7,21.3,15
2011,8,24,6
2011,9,20.3,6
2011,10,13.2,4
2011,11,7.7,7
2011,12,4.1,1
2012,1,2.5,5
2012,2,0.8,1
2012,3,11.9,8
2012,4,11.3,17
2012,5,17.1,14
2012,6,22,11
2012,7,23.5,11
2012,8,24.1,11
2012,9,18.5,10
2012,10,13.7,10
2012,11,8.3,9
2012,12,1.9,1
2013,1,3,4
2013,2,2.3,5
2013,3,6.6,12
2013,4,12.3,17
2013,5,14.7,20
2013,6,20.6,8
2013,7,23.9,11
2013,8,22.7,11
2013,9,18.9,7
2013,10,13.4,14
2013,11,7.8,11
2013,12,3.5,6
2014,1,4,11
2014,2,5.9,15
2014,3,10.4,9
2014,4,14.1,8
2014,5,16.3,11
2014,6,21.2,15
2014,7,21.2,17
2014,8,20.9,10
2014,9,18.7,11
2014,10,15.1,10
2014,11,9.6,16
2014,12,4.7,9
2015,1,3.8,4
2015,2,4.2,11
2015,3,9.6,10
2015,4,13.6,9
2015,5,17.8,13
2015,6,21.9,13
2015,7,26.6,10
2015,8,23,12
2015,9,17.7,11
2015,10,12.6,14
2015,11,8.1,1
2015,12,4.6,1
2016,1,3.7,5
2016,2,6.2,13
2016,3,8.7,10
2016,4,13.7,14
2016,5,16,15
2016,6,20.6,17
2016,7,24.1,11
2016,8,23.3,8
2016,9,20.8,8
2016,10,12.5,9
2016,11,7.9,10
2016,12,4,4
2017,1,1.4,3
2017,2,5.6,11
2017,3,11.6,10
2017,4,13.6,10
2017,5,17.7,10
2017,6,23.1,13
2017,7,23.7,10
2017,8,24.2,8
2017,9,17.8,9
2017,10,14.5,0
2017,11,7.3,7
2017,12,1.9,4
2018,1,5.3,10
2018,2,2.9,12
2018,3,6.9,11
2018,4,14.9,14
2018,5,17.5,29
2018,6,22.3,11
2018,7,24.5,15
2018,8,24.3,15
2018,9,24.3,9
2018,10,14.9,13
2018,11,9.2,21
2018,12,3.2,2
2019,1,2.6,2
2019,2,6.5,2
2019,3,10.6,3
2019,4,12.6,15
2019,5,14.9,21
2019,6,23,13
2019,7,24.9,11
2019,8,23.9,7
2019,9,19.4,8
2019,10,15.1,14
2019,11,8.2,20
2019,12,5.7,11
2020,1,4,3
2020,2,7.8,2
2020,3,9,10
2020,4,14,7
2020,5,18.2,14
2020,6,20.3,17
2020,7,24,13
2020,8,24,13
2020,9,19.8,11
2020,10,12.5,12
2020,11,8.4,3
2020,12,3.8,12
2021,1,2.5,12
2021,2,6.6,8
2021,3,9.4,5
2021,4,11.6,13
2021,5,15.8,12
2021,6,22.7,16
2021,7,23.4,19
2021,8,23.1,10
2021,9,20.6,10
2021,10,12.8,6
2021,11,7.6,15
2021,12,3.3,1
2022,1,3.2,2
2022,2,6.6,2
2022,3,8.5,8
2022,4,13,7
2022,5,19.7,17
2022,6,24.4,12
2022,7,27.1,11
2022,8,25.1,14
2022,9,19.5,10
2022,10,17,6
2022,11,9.1,8
2022,12,3.8,7
